old                                      new
061e6e2752331ad6665f3be38b8cdadcf9866c5f ee796e435220d1c45f5daf56822c2420b3d46469
0edd83271969f50cf426a70508d7855f04da84bf 1b56a2b72e15860ffdbaeedb0e0fba01acdbd50d
152fca7351a238ea42b267d39d110bf4d75a8c4b 9303680f3858181330190395cb137a4b2a23cd2f
15ff46ab9b0daaac9c7f94bb1e6162fe57f5abe7 d2d82e6fbdcdd552c2769cb86b0f88dc9d346ba1
1aa835eab94de556be8247d8515e9a7fcd12ccf9 8c7f5d599ff23d159ed8b67679426b08daa216d9
1d9c9ea0dc9e42db711f33257b87b6281f453ce1 4204c9a0f440b313a81dd156934774daf7c53a3c
2387c532c21e55cc40e7eb4fe30b52c3e3b0adbf a7d4315decaa103b8d5344f8583d2fcee87994ce
264d504dbf8918d3374601dc92fed5e39eefe4c9 e9403d87fe52c013248d175cfa4a5d80f11e10fb
2abffc99ed24e95914985ee9573d4aeef22fae85 2c534c008b125d6c73e0e5a833784c99f62baeed
2b0c13f2fe14a73ee9a45769998630018fbfa8fb 6fd6c5266bcc2a5b46f10fe75e6653c153be5e71
2d99cc23592d92cf75c212431fc3111a474d4647 1921d072b16b0b2fb3b5993a8e0bc841031ab03f
3a16ea2bd43bb80b191eb59f17ef9c63ce6b42e9 422cced5d52ecbb0918cf77e78c49065b96379ba
3c0c32558d96dde06b8bb746db4b79a61e85509d ba31abb86958c3f0d97d9354186ee55780794829
3dbb282487dcd24f2ae7662b4475bdd3c8b414d8 984641b71cd420fe88725441b63af09dc9a95c12
3f0dac170417279148e1f3b05c420806fac2f582 604e825681b29d01a83dbe1b9119f52e68836b69
3f69335a1c22ac00230daee1472117ca6c1889d8 4cc74c0caf54865ff3eb02b90f86f3d79c4da923
42052aa53223d6d0642744e9496f3c0e87700dcb 59302f72d4ed7103f4cdd0af7030de89db0877a6
4359e395a19e9bc99309aa2afef6ce478e9d7e1a 8eb726da267dce3f138ebfa2e29ed25f60e184cd
4ef3c2e867a1b4d90850f0e748f9bfac19b68340 edbaa1d70d154e24cf5e12d8bb90c47c900d6e2f
558f14f1bd71a0209ee24228f2fb13e41ad49d29 c492d407c0b2e2684ac588e30cffd7b78a95bf8f
5936d3950cb047a0de200784289365ff8ec0f4f6 4d7d94ac65bfbb3faa3a7a4f525b417cdc2bfc6b
5f141777e1a6bbe54f77f094bee7dd85d0ec012e a7ab1aa72acec65992ea54951e03393d8183f378
629a3080e6f27bcc6f03565491473254ca300c02 ef014c046494ce7ce878e4168a1be279abbcf1b2
64765bd3d03747b40e988df72165acdd4673eb5b af160fb161bed342c02fb6aa69b76247ceaafcc3
68928bf9fddc8f4f67eeed326c6abbfae886c14a 39c6df9adaef8f83975ef2ac1f2b42daee35c1b0
6bb728d3b491c66e59be97c16569ea50e1f26618 d13030a14cf8e65f63940580d732cebfebf00318
6e3dc47a6ef60bd8d5aa386974092dfadaf064d6 647a3dafe1667f99ba7ed896f0dc0d3168f6a14e
6fc7e7f3e813c86873217a241ae5a73d44e291df 8e7decdedf3a490d068f12034010e1e7d7c160ac
70c6e603ff89605facd21091986b2fe20eda6ce6 c1b7ac589eda9847409601ecd32371cc48e324a7
70f4c4e6f6d003415517727e28df2a97caa1888e 3d526453cb14fd19ca5f45ecb650efb331afb070
719bedc9e551a6457536c3f3515a1a6f1a007965 5cdd32596b7171b28b42023c1f1f20ce9bf40c8c
71dd7a0675cfb842c1143852424b1a35a4d2dd8c 8213f367b6ab2ec8b6e8fe852a3d4542c75c4f34
765b8ccdde02beb4c72f7de3fe8da4d512c915b5 9d71a3aba34ad0181fe5f738cda436ced58d58bc
76a14f3ba8034765da13c0ef2f753df194bd8dde 5177ec304c9e7337929e0f21fed804741db30338
7a243c64bf21b1562b77522ff0f505148a42472f ae445fc4058dc9315b975a586718e04981e0e96e
7f5e34c965c11997b5c1bd2ca913ddb73469d825 ec7d589414b6d666d852ae29ba05fd069f21ec39
88ea9675bbfa3c4c90d40ae763d692408107abb4 7244077f73588ad1b251a1ff74cabda212d19501
8d00cccc6c0bf725f2f4b7aea01a987546dede4f aa71ef3ca57a82692ab5d08fc0403ca67c6d7638
96f78a92f176d92c27e90111e00e0ef6c8c6e4de 1304e979b7c486cc4b481e09b59940da87932cce
985181921304a06fec91d31ce4e92903b22aee4f 63c34008efcbdb12d49e2e4a1a34bfb9e69f2e5a
99ee5407b831e9c06191d8adc7945bfc50c81528 10f511ab3e7fe3fad0c9efe9b9081539eb4944d8
a300dd798d6177eed7cfc4259bf59ff66e72738e fbc8c709519f2342616a6c1bb54940a9e810cf2f
a4e1b6040c31abf1a0d4bb283439f00449cf8c4a 8eb213d87ba8a3ac6746d9e59cb1eee119563803
a52689f30ebf3d7a7d5c8e1cdce3baaea9a46c58 ab385fd8810fc213a2d2efe3067c1350ef12d2b1
ac0f1bc5b90cd599a36ff313310f2733de1336df 0222b882f1063c30fd9790f5d7dde10a9b422d48
b474427d2dc0a9d7d444108079592fc51c06907a 9da9a9e89c007ae73d690542d8b6feb6863bef31
b480a19799f2330bbb88882f6009604cf5795b8e 62be77b350ea205775e1390c53eebf33fe21965d
b49ee1e4371e2a633e6a4167b11c18edaae98f93 8f65e807562a1b4080d383d653cba6d536e3a661
c05d58dcf6d614f1862d6deff80ddb104b340664 4643d8a522ae5f401dfe025e3e2cb35389b4d9fb
c2ffbb8a79a3966cd626d4c05d37035c2f3f2bc8 13c1882d74f491b2a6a6114497c3ceb5bc91d27f
c81d0eb3879d204112f93cfd8f02fd669ebafce0 b80e94dbde10b8d0280fbd68ca1dfe74e899911d
c91fa5d59b26dd4cd4656a368a6162824c3962a8 893554ccfe8fa8483d532191c89d92c645af291f
cb830a88de82007262b18a18b57bc094662a8dcb 14ae7040b46a7c326ed98456a0493fee2bbc995c
cd5cf60156758617bdd4dc0401204b682bc68e8d 6dbe9bbf0340381c1bf7531df9fbfb396f25b19c
ce3e99de6a91abdecb9f7f4cbd48d30eb8a2e5db db3342970c02a5ddb5a39dca8a61a831f5611f97
d11cd3dc2722c7f883acda9cc6680cc78fb911f9 604d6b8457789959e109f4cf79d20ad55d073c3c
e7a504f8363393044178ddab367d686b2bdc28cf 3e53b1f470cdd2346a9c7fe94b8a398cc4aca5cf
e7aede3b3cd5af26a2d36399932008d07041734f a83663a39d3506ad84c8f91c393ce737bba9a82f
eba06fc9a1965f6f6008d60a574cf401a551f6b2 274b8be5bc684a2d932c877af9af5f597ae1b181
ecc64fae5e6f444b936f14b0241b687739e65085 8a01e96d399a9b4297a3294b5d5c221c6d9da5a5
ee9cddadafd9dc3edab1c7c8414fae74925810f1 9f35142651ff8f7fd7bee70024a9bf6130efeaaf
f9594a54e375a02e158676e05e57da18a2e8a943 979cbbd468e58eee4bf76540f17108615fd8cc76
fd03d924b91359bef59c541f30fdcca2aa0a1951 8337d0038432023abef5e9b7c4a6acb862cb84e1
fed461072542214d294dc7cb2caaf78201fb74d5 29c2a7965bbcdd17117998317143a844e55293fb
